review_id,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,review_notes,suggested_action
41,2009,MALKAJGIRI,KANTE KANAKAIAH GANGAPUTRA,IND,Kante Kanakaiah Ganagaputra,IND,0.983,0.9811,1.0,P1,high-confidence fuzzy match,manual_review
42,2004,ADILABAD,MADHUSUDHAN REDDY TAKKALA,TRS,MADHUSUDHAN REDDY THAKKALA,TRS,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
43,2009,DAVANAGERE,H K KENCHAVEERAPPA HEBBALU,IND,H K KENCHVEERAPPA HEBBALU,IND,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
44,2009,KALYAN,BHANUSHALI LAXMIDAS VELJI,IND,BHANUSHALI LAXMINDAS VELJI,IND,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
45,2009,MAHASAMUND,NARAYANDAS INQALAB GANDHI,IND,Narayan Das Inqalab Gandhi,IND,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
46,2009,NANDYAL,SINGAM VENKATESWARA REDDY,IND,SINGAM VENKATESHWARA REDDY,IND,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
47,2009,NORTH GOA,NARCINVA SURYA SALGAONKAR,IND,NARACINVA SURYA SALGAONKAR,IND,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
48,2009,SHIRDI,RUPWATE PREMANAND DAMODAR,IND,RUPWATE PREMANAND DAMODHAR,IND,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
49,2009,VALSAD,KISHANBHAI VESTABHAI PATEL,INC,KISANBHAI VESTABHAI PATEL,INC,0.9824,0.9804,1.0,P1,high-confidence fuzzy match,manual_review
50,2009,AMRELI,NILABEN VIRJIBHAI THUMMAR,INC,NILABEN VIRJIBHAI THUMAR,INC,0.9816,0.9796,1.0,P1,minor name spelling variation,manual_review
51,2009,HAVERI,FAKKIRESH SHAMBU BIJAPUR,IND,FAKKIRESH SHAMBHU BIJAPUR,IND,0.9816,0.9796,1.0,P1,minor name spelling variation,manual_review
52,2009,KHARGONE,MAKANSINGH SOLANKI (BABUJI),BJP,MAKNSINGH SOLANKI (BABUJI),BJP,0.9816,0.9796,1.0,P1,minor name spelling variation,manual_review
53,2009,PALGHAR,DR. KASHIRAM MAHADU DHONDAGA,IND,DR. KASHIRAM MAHADU DHONDAGHA,IND,0.9816,0.9796,1.0,P1,minor name spelling variation,manual_review
54,2009,BEED,MASKE MACHINDRA BABURAO,BSP,MASKE MACHHINDRA BABURAO,BSP,0.9809,0.9787,1.0,P1,minor name spelling variation,manual_review
55,2009,BULDHANA,RAJESH NILKANTHRAO TATHE,IND,RAJESH NIKANTHRAO TATHE,IND,0.9809,0.9787,1.0,P1,minor name spelling variation,manual_review
56,2009,DHAR,GAJENDRA SINGH RAJUKHEDI,INC,GAJENDRASINGH RAJUKHEDI,INC,0.9809,0.9787,1.0,P1,minor name spelling variation,manual_review
57,2009,KAISERGANJ,BRIJBHUSHAN SHARAN SINGH,SP,BRIJBHUSHAN SARAN SINGH,SP,0.9809,0.9787,1.0,P1,minor name spelling variation,manual_review
58,2009,MUMBAI NORTH CENTRAL,MOHAMAD YAHIYA SIDDIQUE,IND,MOHAMAD YAHIYA SIDDHIQUE,IND,0.9809,0.9787,1.0,P1,minor name spelling variation,manual_review
59,2009,MUMBAI NORTH EAST,DHARMPAL BHAGWAN MESHRAM,IND,DHARPAL BHAGWAN MESHRAM,IND,0.9809,0.9787,1.0,P1,minor name spelling variation,manual_review
60,2009,BEED,ADV.NATKAR RAMRAO SHESHERAO,IND,ADV.NATKAR RAMRAO SHESHRAO,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
61,2009,BEED,SARDAR KHAN SULTANBABA,IND,SARDAR KHAN SULTANABABA,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
62,2009,BILASPUR,DR.BALMUKUND SINGH MARAVI,GGP,Dr. Bal Mukund Singh Maravi,GGP,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
63,2009,BULDHANA,FERAN CHANDRAHAS JAGDEO,ABHM,FERAN CHADRAHAS JAGDEO,ABHM,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
64,2009,DINDORI,SHANKAR DEORAM GANGURDE,IND,SHANKAR DEORAM GANGUDE,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
65,2009,GONDA,AKHILENDRA KUMAR PATHAK,IND,AKILENDRA KUMAR PATHAK,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
66,2009,HOSHANGABAD,HAJEE SYID MUEEN UDDIN,SP,HAJAEE SYID MUEEN UDDIN,SP,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
67,2009,LATUR,AWALE JAYWANT GANGARAM,INC,AAWALE JAYWANT GANGARAM,INC,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
68,2009,MALKAJGIRI,LT.COL. (Retd.) DUSERLA PAPA RAIDU,IND,Lt.Col.(Retd) Duserla Paparaidu,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
69,2009,MUMBAI NORTH CENTRAL,RAJKAMAL JAISINGH YADAV,IND,RAJKAMAL JAISINH YADAV,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
70,2009,MUMBAI SOUTH,CHIRAG KANTILAL JETHVA,KKJHS,CHIRAG KANTILAL JETHAVA,KKJHS,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
71,2009,NANDURBAR,NATAWADKAR SUHAS JAYANT,BJP,NATAWADKAR SUHAS JYANT,BJP,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
72,2009,NASHIK,BHARAT HIRAMAN PARDESHI,IND,BHARAT HIRMAN PARDESHI,IND,0.98,0.9778,1.0,P1,minor name spelling variation,manual_review
73,2009,ANDAMAN & NICOBAR ISLANDS,SMTI. R. S. UMA BHARATTHY,NCP,Smti. R. S. Uma Bharathy,NCP,0.9791,0.9767,1.0,P2,minor name spelling variation,manual_review
74,2009,NALGONDA,K.V.SRINIVASA CHARYULU,IND,KV Srinivasa Charyulu,IND,0.9791,0.9767,1.0,P2,minor name spelling variation,manual_review
75,2009,PALGHAR,SHINGDA DAMODAR BARKU,INC,SHINGADA DAMODAR BARKU,INC,0.9791,0.9767,1.0,P2,minor name spelling variation,manual_review
76,2009,RAIPUR,MOH. JILANI ALIAS TANI,IND,Mohd. Jilani alias Tani,IND,0.9791,0.9767,1.0,P2,minor name spelling variation,manual_review
77,2009,SHIRDI,VAIRAGAR SUDHIR NATHA,IND,VAIRAGHAR SUDHIR NATHA,IND,0.9791,0.9767,1.0,P2,minor name spelling variation,manual_review
78,2009,BEED,SAYED MINHAJ ALI WAJED ALI (PENDKHAJUR WALE),IND,SAYYED MINHAJ ALI WAJED ALI (PENDKHJUR WALE),IND,0.9786,0.9762,1.0,P2,minor name spelling variation,manual_review
79,2009,ARRAH,BHARAT BHUSAN PANDEY,ABJS,Bharat Bhushan Pandey,ABJS,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
80,2009,ASANSOL,BANSA GOPAL CHOWDHURY,CPM,BANSAGOPAL CHOWDHURY,CPM,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
81,2009,KALYAN,SIDDIQUE ASFAQUE ALI,IND,SIDDIQUE ASHFAQUE ALI,IND,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
82,2009,KOLHAPUR,KAMBLE SUHAS NIVRUTTI,BSP,KAMBLE SUHAS NIVRUTI,BSP,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
83,2009,MALKAJGIRI,SARVEY SATHYANARAYANA,INC,SARVEY SATYANARAYANA,INC,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
84,2009,MUMBAI NORTH,SHYAM TIPANNA KURADE,IND,SHYAM TIPANNA KURHADE,IND,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
85,2009,SHAHDOL,RAMRATAN SINGH PAVLE,GGP,RAM RATAN SINGH PAVLE,GGP,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
86,2009,SHIRDI,SANDIP BHASKAR GHOLAP,IND,SANDIP BHASKAR GOLAP,IND,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
87,2009,SHIRDI,KAMBLE RAMESH ANKUSH,IND,KAMBALE RAMESH ANKUSH,IND,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
88,2009,THANE,CHAUGULE VIJAY LAXMAN,SHS,CHUGULE VIJAY LAXMAN,SHS,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
89,2009,VISAKHAPATNAM,YADDANAPUDI RANGARAO,IND,Yaddanapudi Ranga Rao,IND,0.978,0.9756,1.0,P2,minor name spelling variation,manual_review
90,2009,ANANTAPUR,J C RAMANJULA REDDY,IND,J C RAMANUJULA REDDY,IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
91,2009,BALASORE,SHRADHANJALI PRADHAN,BSP,Sradhanjali Pradhan,BSP,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
92,2009,BHIWANDI,ISMAIL SHAIKH LATIF,KKJHS,ISMAILE SHAIKH LATIF,KKJHS,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
93,2009,CHANDAULI,JAWAHAR LAL JAISAWAL,BJP,JAWAHAR LAL JAISWAL,BJP,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
94,2009,CHENNAI CENTRAL,MOHAMMED ALI ZINNA.A,IND,MOHAMED ALI ZINNA.A,IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
95,2009,FATEHPUR SIKRI,BENI PRASHAD AGARWAL,IND,BENI PRASAD AGARWAL,IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
96,2009,JAIPUR RURAL,VRADHICHAND KUMAWAT,IND,VRADHI CHAND KUMAWAT,IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
97,2009,MAHASAMUND,"KHEDUBHARTI ""SATYESH""",IND,Khedhubharti (Satyesh),IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
98,2009,NALGONDA,BOLUSANI KRISHNAIAH,IND,Bollusani Krishnaiah,IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
99,2009,THANE,KHAN FIROZ YUSUFKHAN,IND,KHAN FIROZ YSUFKHAN,IND,0.9769,0.9744,1.0,P2,minor name spelling variation,manual_review
100,2009,ALAPPUZHA,SONY J. KALYANKUMAR,IND,Sony J Kalyanakumar,IND,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
101,2009,BALASORE,SRIKANT KUMAR JENA,INC,Srikanta Kumar Jena,INC,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
102,2009,BILASPUR,ADVOCATE T.R.NIRALA,BSP,AdvocateT R Nirala,BSP,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
103,2009,DHAR,KHUMAN SINGH BARIYA,IND,KHUMANSINGH BARIYA,IND,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
104,2009,DIAMOND HARBOUR,HARUNAL RASID KAJI,NCP,HARUNAL RASHID KAJI,NCP,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
105,2009,JALORE,BHANWAR LAL WAGELA,IND,BHANWAR LAL WAGHELA,IND,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
106,2009,KOLLAM,N.PEETHAMBARAKURUP,IND,N Peethambara Kurup,IND,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
107,2009,KOTA,RAM KRISHAN SHARMA,IND,RAM KIRISHAN SHARMA,IND,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
108,2009,MYSORE,ADAGUR H VISHWANATH,INC,ADAGUR H. VISWANATH,INC,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
109,2009,RAJNANDGAON,BHAG CHAND VAIDHYA,IND,Bhag Chanda Vaidhya,IND,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
110,2009,RATLAM,DILEEPSINGH BHURIA,BJP,DILEEP SINGH BHURIA,BJP,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
111,2004,SHAJAPUR,THAWARCHAND GEHLOT,BJP,THAWAR  CHAND GEHLOT,BJP,0.9757,0.973,1.0,P2,minor name spelling variation,manual_review
112,2004,ANDAMAN & NICOBAR ISLANDS,DR SHANMUGAM,LJP,DR SHANMUGAM,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
113,2004,AMBALA,HEM RAJ,LJP,HEM RAJ,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
114,2004,ANANTNAG,SANJAY SARAF,LJP,SANJAY SARAF,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
115,2004,ARARIA,RAM SEWAK HAZARI,LJP,RAM SEWAK HAZARI,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
116,2004,BAGAHA,HIRALAL RAM,LJP,HIRALAL RAM,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
117,2004,BALIA,SURAJ SINGH,LJP,SURAJ SINGH,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
118,2009,BARAMULLA,GH NABI PARRAY,RPI,GH NABI PARRAY,RPI(A),0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
119,2004,BARPETA,ABDUS SALAM,LJP,ABDUS  SALAM,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
120,2009,BHANDARA - GONDIYA,UNDIRWADE HEMANT JAGIVAN,PRCP,UNDIRWADE HEMANT JAGIVAN,PRBP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
121,2004,BHIWANI,KAPTAN,LJP,KAPTAN,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
122,2004,FARIDABAD,RAM NIWAS RATHI,LJP,RAM NIWAS RATHI,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
123,2004,FARIDKOT,NIRMAL SINGH,LJP,NIRMAL SINGH,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
124,2004,HAJIPUR,RAM VILAS PASWAN,LJP,RAM VILAS PASWAN,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
125,2009,HINGOLI,UTTAMRAO DAGADUJI BHAGAT,PRCP,UTTAMRAO DAGADUJI BHAGAT,PRBP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
126,2004,JAMMU,SANJEEV KUMAR MANMOTRA,LJP,SANJEEV KUMAR MANMOTRA,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
127,2004,JANJGIR,SHOBHA LAL PRAJAPTI,LJP,SHOBHA LAL PRAJAPTI,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
128,2004,JAUNPUR,DHANANJAY SINGH,LJP,DHANANJAY SINGH,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
129,2004,JHUNJHUNU,RANVEER SINGH GUDHA,LJP,RANVEER SINGH GUDHA,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
130,2004,KALIABOR,ANIL CHOUDHURY,LJP,ANIL CHOUDHURY,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
131,2004,KARNAL,SURINDER SINGH HOODA,LJP,SURINDER SINGH HOODA,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
132,2004,LAKHIMPUR,SUNMONI DAS,LJP,SUNMONI DAS,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
133,2009,NAGPUR,RAUT RAMESHCHANDRA,PRCP,RAUT RAMESHCHANDRA,PRBP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
134,2004,NALANDA,DR. KUMAR PUSHPANJAY,LJP,DR. KUMAR PUSHPANJAY,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
135,2009,NANDED,KHADE SANJAY WAMANRAO,PRCP,KHADE SANJAY WAMANRAO,PRBP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
136,2009,PARBHANI,RUMALE TUKARAM DHONDIBA,PRCP,RUMALE TUKARAM DHONDIBA,PRBP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
137,2004,PURNEA,RAJESH RANJAN ALIAS PAPPU YADAV,LJP,RAJESH RANJAN ALIAS PAPPU YADAV,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
138,2004,ROSERA,RAM CHANDRA PASWAN,LJP,RAM CHANDRA PASWAN,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
139,2004,SAHARSA,RANJEET RANJAN,LJP,RANJEET RANJAN,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
140,2009,SHIRDI,ATHAWALE RAMDAS BANDU,RPI(A),ATHAWALE RAMDAS BANDU,RPI,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
141,2004,SONEPAT,SATYA PAL,LJP,SATYA PAL,LJNSP,0.975,1.0,0.75,P2,party alias / shorthand variant,manual_review
142,2009,AJMER,SHANTILAL DHABRIA,IND,SHANTILAL DHABARIA,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
143,2009,AMRAVATI,UGALE SUNIL NAMDEV,PRBP,UGLE SUNIL NAMDEV,PRBP,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
144,2009,BALASORE,LAXIMIKANTA BEHERA,IND,Laxmikanta Behera,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
145,2009,BANGALORE CENTRAL,B.K NARAYANA SWAMY,IND,B.K.Narayanaswamy,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
146,2009,BETUL,SUNIL KUMAR KAWDE,IND,SUNIL KUMAR KAWADE,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
147,2009,BHAGALPUR,RAVISHANKAR SINGH,IND,RAVI SHANKAR SINGH,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
148,2009,BHONGIR,SIDDHARTHA PHOOLEY,BSP,Siddhartha Pooley,BSP,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
149,2009,BIKANER,KHEM CHAND NIMBHAL,IND,KHEMCHAND NIMBHAL,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
150,2009,CHURU,SHAILENDRA AWASTHI,SP,SHALENDRA  AWASTHI,SP,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
151,2009,DHAR,MUKAM SINGH KIRADE,BJP,MUKAMSINGH KIRADE,BJP,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
152,2009,GAYA,RAMKISHORE PASWAN,IND,Ram Kishore Paswan,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
153,2009,GONDA,GANGA DHAR SHUKLA,IND,GAGNGA DHAR SHUKLA,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
154,2009,JAIPUR RURAL,RADHEYSHYAM MEENA,IND,RADHEY SHYAM MEENA,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
155,2009,JALPAIGURI,HARI BHAKTA SARDAR,IND,Haribhakta Sardar,IND,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
156,2009,KORBA,VIJAY LAXMI SHARMA,BSP,Viay Laxmi Sharma,BSP,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
157,2009,KORBA,CHAITI DEVI MAHANT,CSP,Chaitidevi Mahant,CSP,0.9743,0.9714,1.0,P2,minor name spelling variation,manual_review
